Sample	DB	gene	allele	coverage	depth	diffs	uncertainty	divergence	length	maxMAF	clusterid	seqid	annotation
N1500308	SRST2_20160428	NC_014208	NC_014208	85.551	315.382	54snp7indel7890holes		0.116	54641	0.5	868	01087	no
N1500308	SRST2_20160428	NZ_CP012143	NZ_CP012143	79.111	320.679	303snp40indel8766holes		0.912	42002	0.5	999	01586	no
N1500308	SRST2_20160428	NC_014478	NC_014478	98.388	100.442	37snp13indel121holes		0.459	8187	0.183	1331	01194	no
N1500308	SRST2_20160428	NC_021660	NC_021660	90.525	250.965	448snp25indel5155holes		0.906	54605	0.5	869	01086	no
N1500308	SRST2_20160428	NC_019098	NC_019098	83.941	311.066	292snp11indel6338holes	edge0.0	0.88	39510	0.5	1024	00864	no
N1500308	SRST2_20160428	NC_025019	NC_025019	82.567	319.912	87snp6indel11421holes		0.161	65549	0.5	782	00726	no
N1500308	SRST2_20160428	NZ_CP009864	NZ_CP009864	99.992	304.274	53snp5indel		0.085	62589	0.499	809	00357	no
N1500308	SRST2_20160428	NC_022375	NC_022375	75.764	318.084	26snp4indel14394holes		0.058	59395	0.5	829	00584	no
N1500308	SRST2_20160428	NC_024967	NC_024967	92.402	276.523	272snp8indel5525holes		0.404	72800	0.5	686	00134	no
N1500308	SRST2_20160428	NZ_CP014524	NZ_CP014524	99.988	316.142	44snp9indel		0.089	49467	0.499	925	00705	no
N1500309	SRST2_20160428	NZ_CP011979	NZ_CP011979	96.059	280.313	35snp1indel797holes		0.18	20222	0.5	1165	01780	no
N1500309	SRST2_20160428	NZ_CP006919	NZ_CP006919	98.019	202.464	31snp501holes	edge0.0	0.125	25284	0.5	1140	00240	no
N1500309	SRST2_20160428	NC_019151	NC_019151	99.959	127.852	3snp4indel		0.031	9803	0.094	1268	01147	no
N1500309	SRST2_20160428	NC_009649	NC_009649	94.388	193.718	298snp21indel9860holes		0.179	175879	0.5	155	00444	no
N1500309	SRST2_20160428	NC_019152	NC_019152	99.645	140.401	61snp1indel74holes		0.29	21138	0.5	1162	01785	no
N1500309	SRST2_20160428	NZ_CP006663	NZ_CP006663	78.596	172.15	361snp29indel25186holes		0.39	117755	0.5	335	01454	no
N1500309	SRST2_20160428	NZ_CP006928	NZ_CP006928	97.495	200.096	26snp1indel356holes	edge0.0	0.187	14249	0.401	1202	00892	no
N1500309	SRST2_20160428	NZ_CP011990	NZ_CP011990	94.148	235.807	213snp17indel9505holes		0.139	162533	0.5	190	00932	no
N1500309	SRST2_20160428	NC_025167	NC_025167	99.999	200.86	201snp4indel		0.203	99142	0.5	456	01548	no
N1500309	SRST2_20160428	NZ_CP009115	NZ_CP009115	77.327	183.401	980snp22indel26754holes		1.073	118061	0.5	332	01461	no
N1500309	SRST2_20160428	NZ_CP008930	NZ_CP008930	96.296	203.579	267snp15indel6940holes		0.148	187571	0.5	133	01475	no
N1500309	SRST2_20160428	NC_019159	NC_019159	100.0	264.263	1snp		0.007	13636	0.404	1216	00774	no
N1500309	SRST2_20160428	NZ_CP011977	NZ_CP011977	85.788	211.863	459snp25indel31089holes		0.244	218836	0.5	92	00055	no
N1500309	SRST2_20160428	NC_019390	NC_019390	76.039	179.686	1401snp72indel49755holes		0.886	207819	0.5	106	00040	no
N1500309	SRST2_20160428	NC_021666	NC_021666	100.0	258.34			0.0	14709	0.404	1195	00087	no
N1500309	SRST2_20160428	NC_019165	NC_019165	78.245	234.775	224snp8indel23438holes		0.266	107748	0.5	406	00149	no
N1500309	SRST2_20160428	NC_023905	NC_023905	98.565	197.426	203snp7indel1662holes		0.177	116047	0.5	347	00004	no
N1500309	SRST2_20160428	NC_015515	NC_015515	84.024	161.637	86snp2indel1676holes	edge1.0	0.975	10497	0.5	1255	01315	no
N1500309	SRST2_20160428	NC_021656	NC_021656	100.0	198.041	10snp		0.02	48790	0.491	933	00576	no
N1500309	SRST2_20160428	NZ_CP011991	NZ_CP011991	99.999	199.008	200snp4indel		0.176	113638	0.5	364	00296	no
N1500309	SRST2_20160428	NC_023903	NC_023903	99.998	199.123	200snp4indel		0.176	113640	0.5	363	00299	no
N1500309	SRST2_20160428	NZ_CP011577	NZ_CP011577	98.364	203.784	202snp16indel2129holes		0.157	130719	0.5	287	01691	no
N1500309	SRST2_20160428	NC_020132	NC_020132	98.638	186.329	199snp19indel2241holes		0.122	165295	0.499	187	01079	no
N1500309	SRST2_20160428	NZ_CP009873	NZ_CP009873	100.0	263.934			0.0	13841	0.404	1212	00770	no
N1500309	SRST2_20160428	NZ_CP011988	NZ_CP011988	100.0	264.116			0.0	13841	0.404	1213	00771	no
N1500309	SRST2_20160428	NC_021655	NC_021655	99.999	190.873	62snp6indel		0.079	78227	0.499	632	00772	no
N1500309	SRST2_20160428	NZ_CP010394	NZ_CP010394	100.0	264.236			0.0	13841	0.404	1211	00893	no
N1500309	SRST2_20160428	NZ_CP008798	NZ_CP008798	76.295	260.655	183snp11indel20255holes		0.281	85473	0.5	582	01520	no
N1500309	SRST2_20160428	NZ_CP011993	NZ_CP011993	100.0	263.998			0.0	13841	0.404	1214	00896	no
N1500309	SRST2_20160428	NC_024992	NC_024992	78.277	187.915	439snp22indel39569holes		0.308	182204	0.5	141	00567	no
N1500309	SRST2_20160428	NC_011382	NC_011382	100.0	207.725	2snp		0.008	23753	0.404	1155	00380	no
N1500309	SRST2_20160428	NZ_CP006927	NZ_CP006927	95.729	190.768	200snp11indel6092holes		0.146	142788	0.5	244	00188	no
N1500309	SRST2_20160428	NZ_CP008800	NZ_CP008800	96.245	198.517	233snp18indel7308holes		0.124	194877	0.5	124	01592	no
N1500309	SRST2_20160428	NZ_CP012884	NZ_CP012884	84.113	161.497	1084snp114indel30903holes		0.662	194742	0.5	125	01593	no
N1500309	SRST2_20160428	NZ_CP008829	NZ_CP008829	92.095	200.701	244snp20indel19261holes		0.109	243824	0.499	71	01122	no
N1500309	SRST2_20160428	NC_021654	NC_021654	99.088	188.895	179snp15indel2235holes		0.073	245869	0.499	70	01123	no
N1500309	SRST2_20160428	NZ_CP009777	NZ_CP009777	97.859	202.701	218snp16indel4536holes		0.105	212192	0.5	101	00039	no
N1500309	SRST2_20160428	NC_015154	NC_015154	76.022	178.193	1208snp52indel22902holes	edge0.0	1.661	95626	0.5	483	00921	no
N1500309	SRST2_20160428	NZ_CP010393	NZ_CP010393	98.917	205.343	205snp14indel2241holes		0.1	207543	0.499	107	00041	no
N1500309	SRST2_20160428	NC_018953	NC_018953	98.203	201.083	4snp1indel166holes		0.044	9294	0.073	1284	00115	no
N1500309	SRST2_20160428	NC_009793	NC_009793	98.203	201.183	3snp1indel166holes		0.033	9294	0.073	1283	00120	no
N1500309	SRST2_20160428	NZ_CP009778	NZ_CP009778	98.887	256.357	170holes	edge0.0	0.0	15271	0.404	1188	01753	no
N1500309	SRST2_20160428	NZ_CP011982	NZ_CP011982	87.199	239.364	55snp117indel6604holes	edge0.0	0.122	51662	0.432	903	00944	no
N1500309	SRST2_20160428	NZ_CP006924	NZ_CP006924	75.359	177.438	99snp6indel2688holes	edge0.0	1.202	10925	0.5	1243	01220	no
N1500309	SRST2_20160428	NC_019155	NC_019155	99.58	208.439	204snp17indel476holes		0.178	115300	0.5	354	01672	no
N1500309	SRST2_20160428	NC_009650	NC_009650	97.853	210.853	339snp10indel2305holes		0.322	107576	0.5	409	00159	no
N1500309	SRST2_20160428	NZ_CP011981	NZ_CP011981	98.281	215.623	118snp8indel2241holes		0.092	130552	0.498	290	00020	no
N1500309	SRST2_20160428	NC_025187	NC_025187	99.999	205.909	198snp6indel		0.173	114464	0.5	358	01678	no
N1500310	SRST2_20160428	NZ_CP009862	NZ_CP009862	76.016	397.936	87snp8indel19226holes		0.143	80186	0.5	622	00645	no
N1500310	SRST2_20160428	NC_019151	NC_019151	99.959	318.983	3snp4indel		0.031	9803	0.058	1268	01147	no
N1500310	SRST2_20160428	NC_023910	NC_023910	79.356	417.37	99snp12indel11015holes		0.233	53416	0.5	885	01102	no
N1500310	SRST2_20160428	NC_011383	NC_011383	81.439	319.432	395snp22indel13101holes		0.686	70655	0.5	704	01488	no
N1500310	SRST2_20160428	NC_024974	NC_024974	85.441	459.242	302snp16indel6288holes		0.817	43265	0.5	987	01718	no
N1500310	SRST2_20160428	NC_022374	NC_022374	78.076	393.609	104snp12indel11909holes		0.245	54373	0.5	871	01222	no
N1500310	SRST2_20160428	NC_019101	NC_019101	100.0	665.916			0.0	2699	0.232	1738	00834	no
N1500310	SRST2_20160428	NZ_CP009853	NZ_CP009853	89.656	420.016	104snp9indel5843holes		0.205	56557	0.5	856	00956	no
N1500310	SRST2_20160428	NC_021622	NC_021622	80.939	419.683	47snp5indel10705holes		0.103	56171	0.5	857	00957	no
N1500310	SRST2_20160428	NC_025186	NC_025186	75.8	406.753	47snp8indel14325holes		0.105	59228	0.5	836	00712	no
N1500310	SRST2_20160428	NC_019084	NC_019084	76.866	638.758	11snp713holes		0.464	3082	0.4	1716	01819	no
N1500310	SRST2_20160428	NC_019087	NC_019087	80.781	389.354	326snp29indel8484holes		0.912	44216	0.5	970	01070	no
N1500310	SRST2_20160428	NZ_CP009867	NZ_CP009867	93.213	422.592	52snp8indel3659holes		0.103	54000	0.499	877	01216	no
N1500310	SRST2_20160428	NZ_CP011589	NZ_CP011589	99.598	420.673	55snp9indel230holes		0.093	59138	0.499	838	00716	no
N1500310	SRST2_20160428	NC_019103	NC_019103	97.891	646.586	1snp58holes		0.037	2750	0.232	1732	00838	no
N1500310	SRST2_20160428	NC_012916	NC_012916	100.0	666.737			0.0	2699	0.232	1737	00841	no
N1500310	SRST2_20160428	NC_019279	NC_019279	97.816	645.827	59holes		0.0	2702	0.232	1736	00842	no
N1500310	SRST2_20160428	NC_019166	NC_019166	83.193	401.679	27snp5indel8529holes		0.064	50775	0.5	915	00813	no
N1500310	SRST2_20160428	NZ_CP009858	NZ_CP009858	99.988	422.672	51snp6indel		0.101	50333	0.499	917	00815	no
N1500310	SRST2_20160428	NC_019124	NC_019124	84.044	379.386	286snp16indel6530holes	edge0.0	0.83	40995	0.5	1010	01178	no
N1500310	SRST2_20160428	NC_021664	NC_021664	87.566	329.53	410snp24indel6582holes		0.882	53081	0.499	893	01230	no
N1500310	SRST2_20160428	NC_019033	NC_019033	87.397	449.623	304snp19indel5330holes	edge0.0	0.821	42379	0.5	993	01584	no
N1500310	SRST2_20160428	NC_019098	NC_019098	83.971	433.328	295snp13indel6325holes	edge0.0	0.889	39510	0.5	1024	00864	no
N1500310	SRST2_20160428	NZ_CP012143	NZ_CP012143	79.12	453.109	307snp45indel8758holes		0.923	42002	0.5	999	01586	no
N1500310	SRST2_20160428	NC_014478	NC_014478	98.156	126.12	32snp12indel140holes		0.398	8187	0.246	1331	01194	no
N1500310	SRST2_20160428	NC_021660	NC_021660	88.375	333.328	459snp22indel6332holes		0.951	54605	0.5	869	01086	no
N1500310	SRST2_20160428	NC_014208	NC_014208	84.277	433.873	49snp7indel8586holes		0.106	54641	0.5	868	01087	no
N1500310	SRST2_20160428	NC_025019	NC_025019	78.004	429.904	77snp7indel14413holes		0.151	65549	0.499	782	00726	no
N1500310	SRST2_20160428	NZ_CP009864	NZ_CP009864	93.539	404.082	67snp6indel4038holes		0.114	62589	0.5	809	00357	no
N1500310	SRST2_20160428	NC_022375	NC_022375	75.762	431.854	24snp4indel14395holes		0.053	59395	0.499	829	00584	no
N1500310	SRST2_20160428	NC_024967	NC_024967	90.052	374.399	271snp5indel7240holes		0.413	72800	0.499	686	00134	no
N1500310	SRST2_20160428	NZ_CP014524	NZ_CP014524	97.255	433.504	49snp9indel1352holes		0.102	49467	0.499	925	00705	no
N1500311	SRST2_20160428	NZ_CP014698	NZ_CP014698	80.722	118.325	1179snp82indel19275holes		1.457	100196	0.5	449	01413	no
N1500311	SRST2_20160428	NC_019151	NC_019151	99.959	133.799	2snp4indel		0.02	9803	0.072	1268	01147	no
N1500311	SRST2_20160428	NC_011641	NC_011641	80.299	117.046	722snp31indel13380holes	edge0.0	1.321	68018	0.494	757	00847	no
N1500311	SRST2_20160428	NZ_CP011632	NZ_CP011632	77.394	119.68	885snp30indel18890holes		1.367	83652	0.5	594	01395	no
N1500311	SRST2_20160428	NZ_CP011593	NZ_CP011593	83.069	122.738	803snp26indel11651holes		1.402	68910	0.5	746	00971	no
N1500311	SRST2_20160428	NC_019346	NC_019346	85.832	125.371	832snp42indel9398holes		1.456	66531	0.49	772	01113	no
N1500311	SRST2_20160428	NZ_CP011609	NZ_CP011609	84.97	122.667	819snp27indel10596holes	edge0.0	1.365	70610	0.5	705	01489	no
N1500311	SRST2_20160428	NC_019368	NC_019368	75.827	133.296	750snp33indel21184holes		1.127	87731	0.5	563	01748	no
N1500311	SRST2_20160428	NC_014478	NC_014478	90.314	78.761	17snp12indel782holes		0.23	8187	0.5	1331	01194	no
N1500311	SRST2_20160428	NZ_CP010382	NZ_CP010382	96.83	171.685	18snp1indel1684holes		0.035	53129	0.5	892	01229	no
N1500311	SRST2_20160428	NZ_CP010365	NZ_CP010365	83.632	122.147	779snp18indel11462holes		1.329	70092	0.5	727	01764	no
N1500311	SRST2_20160428	NC_024997	NC_024997	83.976	139.803	393snp7indel14414holes		0.52	89977	0.5	540	00262	no
N1500311	SRST2_20160428	NC_021488	NC_021488	82.399	129.177	500snp16indel11008holes		0.969	62592	0.5	808	00358	no
N1500311	SRST2_20160428	NC_020280	NC_020280	77.18	161.038	9snp2indel1145holes	edge0.0	0.232	5022	0.479	1566	01709	no
N1500311	SRST2_20160428	NC_005246	NC_005246	82.622	107.008	871snp15indel10443holes		1.752	60145	0.495	825	00586	no
N1500311	SRST2_20160428	NZ_CP015075	NZ_CP015075	82.665	133.105	508snp11indel11011holes		0.967	63543	0.499	801	00361	no
N1500311	SRST2_20160428	NC_010499	NC_010499	83.175	126.282	1snp1152holes	edge0.0	0.018	6847	0.463	1400	01407	no
N1500311	SRST2_20160428	NC_019154	NC_019154	81.146	122.228	552snp16indel11659holes		1.099	61881	0.5	815	00472	no
N1500311	SRST2_20160428	NZ_CP011640	NZ_CP011640	77.836	116.451	883snp25indel16187holes	del1	1.551	73100	0.5	683	00137	no
N1500311	SRST2_20160428	NC_023027	NC_023027	82.606	133.133	503snp20indel11054holes		0.958	63578	0.5	800	00362	no
N1500312	SRST2_20160428	NZ_CP009862	NZ_CP009862	76.584	689.594	110snp7indel18770holes		0.179	80186	0.5	622	00645	no
N1500312	SRST2_20160428	NC_019151	NC_019151	99.959	562.525	3snp4indel		0.031	9803	0.064	1268	01147	no
N1500312	SRST2_20160428	NC_023910	NC_023910	79.298	725.641	99snp14indel11045holes		0.234	53416	0.497	885	01102	no
N1500312	SRST2_20160428	NC_011383	NC_011383	78.958	579.989	386snp26indel14852holes		0.692	70655	0.5	704	01488	no
N1500312	SRST2_20160428	NC_024974	NC_024974	86.113	809.123	296snp18indel5995holes		0.794	43265	0.5	987	01718	no
N1500312	SRST2_20160428	NC_022374	NC_022374	78.263	677.104	115snp14indel11806holes		0.27	54373	0.497	871	01222	no
N1500312	SRST2_20160428	NZ_CP010388	NZ_CP010388	75.813	346.256	48snp9indel350holes	edge0.0	4.263	1476	0.5	1814	00335	no
N1500312	SRST2_20160428	NC_019101	NC_019101	100.0	693.708	3snp		0.111	2699	0.424	1738	00834	no
N1500312	SRST2_20160428	NZ_CP009853	NZ_CP009853	89.683	729.657	111snp11indel5827holes		0.219	56557	0.5	856	00956	no
N1500312	SRST2_20160428	NC_021622	NC_021622	80.96	740.46	48snp7indel10692holes		0.106	56171	0.5	857	00957	no
N1500312	SRST2_20160428	NC_019084	NC_019084	78.488	721.83	24snp663holes		0.992	3082	0.5	1716	01819	no
N1500312	SRST2_20160428	NC_019087	NC_019087	81.631	673.579	326snp27indel8109holes		0.903	44216	0.5	970	01070	no
N1500312	SRST2_20160428	NZ_CP009867	NZ_CP009867	93.213	734.408	60snp9indel3659holes		0.119	54000	0.497	877	01216	no
N1500312	SRST2_20160428	NZ_CP011589	NZ_CP011589	99.547	738.108	62snp8indel262holes		0.105	59138	0.5	838	00716	no
N1500312	SRST2_20160428	NC_019103	NC_019103	97.855	678.685	4snp59holes		0.149	2750	0.424	1732	00838	no
N1500312	SRST2_20160428	NC_012916	NC_012916	100.0	698.434	3snp		0.111	2699	0.424	1737	00841	no
N1500312	SRST2_20160428	NC_019279	NC_019279	97.816	674.787	3snp59holes		0.114	2702	0.424	1736	00842	no
N1500312	SRST2_20160428	NC_011385	NC_011385	75.766	629.357	163snp6indel18321holes		0.284	75617	0.5	653	01555	no
N1500312	SRST2_20160428	NC_019166	NC_019166	83.226	710.102	40snp7indel8512holes		0.095	50775	0.5	915	00813	no
N1500312	SRST2_20160428	NZ_CP009858	NZ_CP009858	99.988	734.411	59snp7indel		0.117	50333	0.497	917	00815	no
N1500312	SRST2_20160428	NC_019124	NC_019124	85.059	666.055	269snp17indel6113holes	edge0.0	0.771	40995	0.5	1010	01178	no
N1500312	SRST2_20160428	NC_021664	NC_021664	86.336	569.156	406snp29indel7233holes		0.886	53081	0.496	893	01230	no
N1500312	SRST2_20160428	NC_019033	NC_019033	87.378	766.681	304snp18indel5339holes	edge0.0	0.821	42379	0.495	993	01584	no
N1500312	SRST2_20160428	NC_014208	NC_014208	84.307	766.849	52snp9indel8569holes		0.113	54641	0.5	868	01087	no
N1500312	SRST2_20160428	NZ_CP012143	NZ_CP012143	79.089	775.19	292snp46indel8770holes		0.879	42002	0.5	999	01586	no
N1500312	SRST2_20160428	NC_014478	NC_014478	99.829	222.755	35snp15indel		0.428	8187	0.498	1331	01194	no
N1500312	SRST2_20160428	NC_019135	NC_019135	79.117	432.305	48snp1indel974holes		1.301	4664	0.494	1596	00856	no
N1500312	SRST2_20160428	NC_021157	NC_021157	83.102	378.194	51snp3indel790holes		1.313	4675	0.498	1593	00859	no
N1500312	SRST2_20160428	NC_021660	NC_021660	87.159	576.881	455snp28indel6993holes		0.956	54605	0.497	869	01086	no
N1500312	SRST2_20160428	NC_019098	NC_019098	84.733	752.005	300snp15indel6022holes	edge0.0	0.896	39510	0.5	1024	00864	no
N1500312	SRST2_20160428	NC_025019	NC_025019	78.971	743.535	122snp7indel13779holes		0.236	65549	0.5	782	00726	no
N1500312	SRST2_20160428	NC_019085	NC_019085	75.109	734.048	25snp744holes		1.114	2989	0.5	1721	00735	no
N1500312	SRST2_20160428	NZ_CP009864	NZ_CP009864	93.826	702.031	71snp7indel3858holes		0.121	62589	0.5	809	00357	no
N1500312	SRST2_20160428	NC_022375	NC_022375	75.767	777.053	35snp5indel14392holes		0.078	59395	0.5	829	00584	no
N1500312	SRST2_20160428	NZ_CP011619	NZ_CP011619	100.0	703.219	3snp		0.08	3741	0.484	1669	01380	no
N1500312	SRST2_20160428	NC_024967	NC_024967	90.39	632.366	317snp6indel6992holes		0.482	72800	0.5	686	00134	no
N1500312	SRST2_20160428	NZ_CP014524	NZ_CP014524	97.259	758.977	56snp10indel1350holes		0.116	49467	0.497	925	00705	no
N1500313	SRST2_20160428	NZ_CP009862	NZ_CP009862	77.592	745.866	91snp7indel17962holes		0.146	80186	0.5	622	00645	no
N1500313	SRST2_20160428	NC_019151	NC_019151	99.959	795.714	3snp4indel		0.031	9803	0.053	1268	01147	no
N1500313	SRST2_20160428	NC_023910	NC_023910	80.515	746.365	102snp12indel10397holes		0.237	53416	0.5	885	01102	no
N1500313	SRST2_20160428	NC_011383	NC_011383	79.382	677.818	350snp22indel14556holes		0.624	70655	0.5	704	01488	no
N1500313	SRST2_20160428	NC_024974	NC_024974	85.381	834.284	286snp16indel6314holes		0.774	43265	0.497	987	01718	no
